oid,fountain_type,fountain_code,dog_friendly,amt,coordinates,open_map_address
295,ברזית גליל,B10,True,,"{'x': 34.7918776627855, 'y': 32.08751260940241}","66, משה שרת, הצפון החדש - סביבת ככר המדינה, תל אביב - יפו, הצפון החדש, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6296802, ישראל"
296,ברזית גליל,B10,True,,"{'x': 34.77654294037499, 'y': 32.08311542022941}","66, שדרות דוד בן גוריון, הצפון הישן - החלק הדרומי, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6343527, ישראל"
297,ברזיה מרובעת,B11,False,,"{'x': 34.77654294037499, 'y': 32.08311542022941}","66, שדרות דוד בן גוריון, הצפון הישן - החלק הדרומי, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6343527, ישראל"
298,ברזית גליל,B10,False,,"{'x': 34.753203502288294, 'y': 32.04395715294369}","70, שבטי ישראל, צהלון ושיכוני חסכון, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6803608, ישראל"
299,ברזית גליל,B10,True,,"{'x': 34.78991510822579, 'y': 32.08887592769222}","71, ויצמן, הצפון החדש - סביבת ככר המדינה, תל אביב - יפו, הצפון החדש, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6230231, ישראל"
300,ברזיית עלה,B14,True,,"{'x': 34.80329516835232, 'y': 32.09637944015628}","קוסובסקי, תל אביב - יפו, בבלי, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5253527, ישראל"
301,קולר,B16,True,,"{'x': 34.80329516835232, 'y': 32.09637944015628}","קוסובסקי, תל אביב - יפו, בבלי, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 5253527, ישראל"
302,ברזית גליל,B10,True,,"{'x': 34.78168455216372, 'y': 32.09311517185344}","72, יהושע בן נון, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6296802, ישראל"
303,ברזית גליל,B10,False,,"{'x': 34.764326110224744, 'y': 32.06718682926294}","76, הכובשים, תל אביב - יפו, נוה צדק, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6560330, ישראל"
304,ברזית גליל,B10,False,,"{'x': 34.75236492637745, 'y': 32.0471904671601}","72, יפת, צהלון ושיכוני חסכון, תל אביב - יפו, עג'מי וגבעת עליה, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6803608, ישראל"
305,קולר,B16,False,,"{'x': 34.7482566665702, 'y': 32.044401340239624}","73, קדם, תל אביב - יפו, יפו, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, 6806546, ישראל"
